,Intercept,group,lower,upper
E08000014,0.12690045518928952,E08000014,-1.1636350324838072,1.4174359428623864
E07000216,0.13078105999301384,E07000216,-1.1597544276800829,1.4213165476661107
E07000040,0.13376993857134367,E07000040,-1.156765549101753,1.4243054262444406
E07000244,0.13532436160456005,E07000244,-1.1552111260685367,1.4258598492776569
E08000029,0.1384872403745234,E08000029,-1.1520482472985734,1.4290227280476202
E07000083,0.13858226145952993,E07000083,-1.1519532262135668,1.4291177491326268
E06000063,0.14176852297994358,E06000063,-1.148766964693153,1.4323040106530405
E07000076,0.147900610847206,E07000076,-1.1426348768258907,1.4384360985203029
E07000085,0.15264070937697236,E07000085,-1.1378947782961244,1.4431761970500692
E07000045,0.15290024453922507,E07000045,-1.1376352431338717,1.443435732212322
E07000064,0.15879515819668913,E07000064,-1.1317403294764077,1.4493306458697859
E07000153,0.1618773414613419,E07000153,-1.1286581462117549,1.4524128291344387
E07000011,0.16399969852447577,E07000011,-1.126535789148621,1.4545351861975726
E07000210,0.16915295005895553,E07000210,-1.1213825376141413,1.4596884377320523
E07000068,0.16946463008664042,E07000068,-1.1210708575864563,1.4600001177597373
E06000050,0.17129578038962426,E06000050,-1.1192397072834726,1.461831268062721
E07000007,0.17558802152378414,E07000007,-1.1149474661493126,1.466123509196881
E07000082,0.1873973411246922,E07000082,-1.1031381465484045,1.477932828797789
E07000102,0.19237883918817222,E07000102,-1.0981566484849246,1.482914326861269
E07000084,0.19662535215544796,E07000084,-1.0939101355176488,1.4871608398285447
E07000122,0.19854175350344874,E07000122,-1.091993734169648,1.4890772411765456
E07000027,0.19875245984578105,E07000027,-1.0917830278273157,1.4892879475188778
E07000009,0.20097949021402092,E07000009,-1.0895559974590758,1.4915149778871177
E07000132,0.2066305804545784,E07000132,-1.0839049072185183,1.4971660681276753
E07000238,0.20847615600580316,E07000238,-1.0820593316672937,1.4990116436788998
E07000187,0.21024974675694588,E07000187,-1.0802857409161508,1.5007852344300427
E09000007,0.2139760200547516,E09000007,-1.0765594676183452,1.5045115077278484
E07000093,0.22179720257177035,E07000093,-1.0687382851013265,1.512332690244867
E07000134,0.23051632918995585,E07000134,-1.0600191584831409,1.5210518168630527
E06000001,0.23603248593533732,E06000001,-1.0545030017377595,1.526567973608434
E07000033,0.236121170488347,E07000033,-1.0544143171847498,1.5266566581614438
E08000011,0.24061331442185813,E08000011,-1.0499221732512387,1.5311488020949549
E07000119,0.24174428924976274,E07000119,-1.048791198423334,1.5322797769228595
E06000003,0.265741221984379,E06000003,-1.0247942656887177,1.5562767096574759
E07000177,0.2674542893235671,E07000177,-1.0230811983495296,1.557989776996664
E06000054,0.2684034215573525,E06000054,-1.0221320661157443,1.5589389092304493
E07000193,0.2759948336562074,E07000193,-1.0145406540168893,1.5665303213293043
E06000005,0.2787434550600415,E06000005,-1.0117920326130552,1.5692789427331384
E07000038,0.28019160894177847,E07000038,-1.0103438787313184,1.5707270966148752
E07000227,0.28402761608943905,E07000227,-1.0065078715836577,1.5745631037625358
E06000059,0.2897048254768743,E06000059,-1.0008306621962224,1.5802403131499712
E07000032,0.2917152545450537,E07000032,-0.9988202331280431,1.5822507422181504
E07000111,0.2930506675320301,E07000111,-0.9974848201410667,1.583586155205127
E07000239,0.2987170151356759,E07000239,-0.9918184725374208,1.5892525028087727
E07000004,0.302086890062219,E07000004,-0.9884485976108778,1.592622377735316
E07000215,0.3044548040369075,E07000215,-0.9860806836361893,1.5949902917100043
E07000039,0.30576944770119935,E07000039,-0.9847660399718974,1.5963049353742962
E07000234,0.3072291475713495,E07000234,-0.9833063401017472,1.5977646352444463
E07000136,0.317073024185105,E07000136,-0.9734624634879918,1.6076085118582017
E08000033,0.3173446263700469,E08000033,-0.9731908613030499,1.6078801140431436
E07000175,0.32077773349589794,E07000175,-0.9697577541771989,1.6113132211689947
E07000067,0.32218550458962714,E07000067,-0.9683499830834696,1.612720992262724
E06000013,0.32316975820757127,E06000013,-0.9673657294655256,1.613705245880668
E07000065,0.3256695187718714,E07000065,-0.9648659689012253,1.6162050064449682
E06000037,0.3293720872231317,E06000037,-0.9611634004499651,1.6199075748962284
E07000005,0.33419207184700517,E07000005,-0.9563434158260916,1.6247275595201018
E07000125,0.3367716400854033,E07000125,-0.9537638475876935,1.6273071277585
E07000127,0.3408539029293701,E07000127,-0.9496815847437267,1.6313893906024668
E09000020,0.34447314401884205,E09000020,-0.9460623436542548,1.6350086316919388
E07000043,0.34839222412698134,E07000043,-0.9421432635461154,1.6389277118000782
E06000065,0.35505206575945203,E06000065,-0.9354834219136448,1.6455875534325488
E09000033,0.36130383280034173,E09000033,-0.929231654872755,1.6518393204734385
W06000006,0.3753348326791702,W06000006,-0.9152006549939266,1.665870320352267
E07000194,0.38151601016271536,E07000194,-0.9090194775103815,1.672051497835812
E07000195,0.3945662957374129,E07000195,-0.8959691919356838,1.6851017834105098
E07000179,0.40186494321841487,E07000179,-0.8886705444546819,1.6924004308915117
W06000021,0.40331515292691056,W06000021,-0.8872203347461862,1.6938506406000073
E07000006,0.41824765659866087,E07000006,-0.872287831074436,1.7087831442717576
W06000003,0.4213853748018838,W06000003,-0.8691501128712129,1.7119208624749807
E07000181,0.4257804629441297,E07000181,-0.864755024728967,1.7163159506172265
E07000197,0.426477907604454,E07000197,-0.8640575800686427,1.7170133952775508
E07000131,0.4354388822175267,E07000131,-0.8550966054555701,1.7259743698906234
E07000225,0.44050412496552527,E07000225,-0.8500313627075715,1.731039612638622
E07000171,0.4436583238017652,E07000171,-0.8468771638713316,1.7341938114748618
E07000042,0.4463287164384238,E07000042,-0.844206771234673,1.7368642041115205
E07000246,0.44791140495674253,E07000246,-0.8426240827163543,1.7384468926298393
E07000072,0.45121876490908125,E07000072,-0.8393167227640155,1.741754252582178
