cluster1,cluster2,distance,sample_count
87.0,440.0,1.6013192167305486,3.0
480.0,515.0,1.6022622358432708,5.0
10.0,56.0,1.6056413579364697,2.0
336.0,337.0,1.6058897750096945,2.0
481.0,487.0,1.6399861020400115,5.0
104.0,121.0,1.6422902410747209,2.0
176.0,510.0,1.669769079879115,3.0
518.0,568.0,1.6717105717370153,8.0
203.0,433.0,1.683096890735947,3.0
466.0,467.0,1.6869938841958305,8.0
430.0,497.0,1.6897194649936214,4.0
316.0,320.0,1.6969722827259768,2.0
240.0,539.0,1.727718855834989,4.0
410.0,436.0,1.7506843072929603,4.0
493.0,547.0,1.756000879753165,5.0
470.0,511.0,1.7759353706129775,4.0
450.0,559.0,1.7848095337583016,6.0
260.0,455.0,1.8223104269201522,3.0
504.0,514.0,1.8396082157310951,4.0
374.0,401.0,1.8425223020912243,4.0
153.0,580.0,1.8452871311440031,5.0
531.0,537.0,1.8536197827577212,5.0
14.0,566.0,1.854302769020035,5.0
255.0,593.0,1.8595696376837152,5.0
453.0,494.0,1.872151015977246,5.0
464.0,473.0,1.8757360624225514,4.0
462.0,570.0,1.8774639784264908,8.0
274.0,533.0,1.8884277576425161,3.0
233.0,496.0,1.901323715470352,4.0
526.0,576.0,1.912509036185906,11.0
406.0,490.0,1.9189177892364062,5.0
561.0,594.0,1.9352083424727773,4.0
550.0,581.0,1.9444663969363747,5.0
50.0,585.0,1.9514441965403289,3.0
457.0,486.0,1.9641283886678382,4.0
474.0,601.0,2.000356961673057,6.0
485.0,554.0,2.004614149927863,7.0
538.0,555.0,2.0122567137874543,4.0
344.0,524.0,2.0287129622673716,3.0
331.0,543.0,2.04187379325718,4.0
506.0,611.0,2.0474681577357017,8.0
475.0,492.0,2.0582848491589933,5.0
471.0,507.0,2.0713060956500517,4.0
423.0,551.0,2.0763413548988323,6.0
523.0,605.0,2.079858847679345,7.0
484.0,558.0,2.090176360728804,7.0
451.0,534.0,2.118149924885712,7.0
27.0,435.0,2.1800427744563913,3.0
572.0,584.0,2.1890256318480388,9.0
72.0,557.0,2.1908484599496,4.0
525.0,597.0,2.1913312110125913,11.0
483.0,596.0,2.197121347104977,7.0
546.0,583.0,2.2000833333205634,5.0
488.0,565.0,2.202997176065174,6.0
528.0,548.0,2.2373589866063233,6.0
