shortfall,local_authority_code,age,n_rooms,n
1.9514615298465647,E09000033,Old,1.0,8929
8.535922330097089,W06000001,Old,1.0,412
8.045968412302573,W06000002,Old,1.0,1203
6.173905996758511,W06000003,Old,1.0,617
5.629273504273505,W06000004,Old,1.0,468
6.987698412698412,W06000005,Old,1.0,252
6.733160621761657,W06000006,Old,1.0,193
8.223026315789474,W06000008,Old,1.0,608
7.37361623616236,W06000009,Old,1.0,542
8.464297800338413,W06000010,Old,1.0,591
3.86984785615491,W06000011,Old,1.0,723
6.215209125475287,W06000012,Old,1.0,263
4.779032258064516,W06000013,Old,1.0,186
4.861825726141079,W06000014,Old,1.0,241
2.8385394070860435,W06000015,Old,1.0,1383
5.863698630136987,W06000016,Old,1.0,876
6.009580838323354,W06000018,Old,1.0,167
6.738281249999998,W06000019,Old,1.0,128
5.882222222222222,W06000020,Old,1.0,90
6.418905472636813,W06000021,Old,1.0,201
3.1550193050193065,W06000022,Old,1.0,518
8.188,W06000023,Old,1.0,625
6.1790697674418595,W06000024,Old,1.0,129
4.274696707105719,E06000001,Old,2.0,577
3.645068493150685,E06000002,Old,2.0,730
4.170833333333333,E06000003,Old,2.0,1392
3.6371784232365147,E06000004,Old,2.0,1205
4.353423336547731,E06000005,Old,2.0,1037
4.268842729970326,E06000006,Old,2.0,337
3.350247279920871,E06000007,Old,2.0,1011
4.852865213882162,E06000008,Old,2.0,1239
3.288849582566861,E06000009,Old,2.0,7067
3.31368739205527,E06000010,Old,2.0,4632
4.648444173276388,E06000011,Old,2.0,3278
4.0023988005997,E06000012,Old,2.0,2001
4.4589694656488525,E06000013,Old,2.0,1048
3.6062306900102987,E06000014,Old,2.0,1942
3.6882510909701254,E06000015,Old,2.0,2979
3.544142324425109,E06000016,Old,2.0,6436
5.600458715596332,E06000017,Old,2.0,218
3.5075471698113176,E06000018,Old,2.0,5247
5.673089005235605,E06000019,Old,2.0,1910
4.181129032258064,E06000020,Old,2.0,620
4.313828164717844,E06000021,Old,2.0,1967
3.61593658740092,E06000022,Old,2.0,4794
2.9552430815258024,E06000023,Old,2.0,13370
3.4824751316559373,E06000024,Old,2.0,3418
4.203124999999999,E06000025,Old,2.0,928
2.9771971852073666,E06000026,Old,2.0,6679
3.2882277397260258,E06000027,Old,2.0,4672
3.343269230769231,E06000030,Old,2.0,1352
3.7591680814940585,E06000031,Old,2.0,1178
3.0058849171752398,E06000032,Old,2.0,2294
3.134078765090046,E06000033,Old,2.0,5053
3.696266666666667,E06000034,Old,2.0,375
3.3909189189189175,E06000035,Old,2.0,2775
4.13173076923077,E06000036,Old,2.0,104
4.61102181400689,E06000037,Old,2.0,871
2.9586190809423853,E06000038,Old,2.0,4287
3.254323001631323,E06000039,Old,2.0,613
3.5752951096121395,E06000040,Old,2.0,1186
4.012286689419795,E06000041,Old,2.0,293
4.6547134935304975,E06000042,Old,2.0,541
2.8436486419874822,E06000043,Old,2.0,20287
3.134693877551021,E06000044,Old,2.0,5880
